x,N1,N2,post_mean,Lower1,Upper1,Lower2,Upper2
20,63,2,0.898,0.852,0.952,0.713,0.999
19,141,2,0.863,,,,
18,220,2,0.823,0.780,0.846,0.637,0.936
17,319,2,0.773,,,,
16,424,6,0.716,0.690,0.743,0.588,0.846
15,622,4,0.663,,,,
14,776,8,0.619,0.605,0.646,0.521,0.739
13,1001,4,0.583,,,,
12,1203,9,0.553,0.534,0.564,0.447,0.627
11,1443,19,0.526,,,,
10,1550,13,0.500,0.485,0.511,0.410,0.547
9,1409,12,0.475,0.461,0.487,,
8,1235,13,0.451,0.436,0.463,0.371,0.499
7,1052,18,0.426,,,,
6,696,8,0.402,0.387,0.420,0.316,0.494
5,471,4,0.379,,,,
4,226,3,0.356,0.340,0.399,0.211,0.494
3,98,1,0.334,,,,
2,27,0,0.314,0.233,0.383,0.042,0.479
1,12,0,0.296,0.107,0.380,,
0,2,0,0.280,0.010,0.373,0.0,0.479